FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000005,Clackmannanshire,Council Area,2018,Count,Train Stations,1,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2017,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2017,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2017,Count,Train Stations,18,Number Of Passenger Train Stations
S12000028,South Ayrshire,Council Area,2017,Count,Train Stations,9,Number Of Passenger Train Stations
S12000033,Aberdeen City,Council Area,2017,Count,Train Stations,2,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000047,Fife,Council Area,2017,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S92000003,Scotland,Country,2017,Count,Train Stations,357,Number Of Passenger Train Stations
S12000048,Perth and Kinross,Council Area,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2017,Count,Train Stations,13,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2017,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2010,Count,Train Stations,11,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2009,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2012,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2011,Count,Train Stations,12,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2010,Count,Train Stations,5,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,Scottish Borders,Council Area,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,Orkney Islands,Council Area,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2007,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2006,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000019,Midlothian,Council Area,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2006,Count,Train Stations,12,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2012,Count,Train Stations,3,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2008,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,North Ayrshire,Council Area,2007,Count,Train Stations,12,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2009,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2008,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2011,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,Moray,Council Area,2010,Count,Train Stations,9,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2011,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2010,Count,Train Stations,58,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2012,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2007,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2006,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2009,Count,Train Stations,19,Number Of Passenger Train Stations
S12000029,South Lanarkshire,Council Area,2008,Count,Train Stations,19,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000030,Stirling,Council Area,2011,Count,Train Stations,6,Number Of Passenger Train Stations
